EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
DHA182301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:246 (1983),,
DHA182401,01,1982,2.0,AAJ,,,,,,57:247 (1983),,
DHA282301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:247 (1983),,
CHRW82301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:247 (1983),,
PUTH82301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:247 (1983),,
EVER83304,01,1983,2.0,AAJ,"Morrissey, James D.",Kangshung Face of Everest,,,,58:1-7 (1984),,
EVER83103,01,1983,2.0,AAJ,"Rowell, Galen A.",An Attempt of Everest's West Ridge from Tibet,,,,58:8-14 (1984),,
KANG83302,01,1983,2.0,AAJ,"Beghin, Pierre",Kangchenjunga Solo,,,,58:15-18 (1984),,
KWAN82401,02,1982,2.0,AAJ,"Breashears, David",Kwangde's North Face in Winter,,,,58:25-27 (1984),,
EVER81301,03,1981,2.0,AAJ,"West, John B.",'Oxygenless Climbs' and Barometric Pressure,,,,58:126-133 (1984),,
JONG83102,01,1983,2.0,AAJ,"Guha, Kamal K.",,,,,58:225 (1984),,
KOTA82301,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,58:225 (1984),,
KANG83102,01,1983,2.0,AAJ,"Bachler, Georg",,,,,58:226 (1984),,
KANG83101,01,1983,2.0,AAJ,"Warth, Hermann",,,,,58:226-227 (1984),,
KANG83301,01,1983,2.0,AAJ,"Bertholet, Denis",,,,,58:227-228 (1984),,
JONG83101,01,1983,2.0,AAJ,"Skarja, Tone",,,,,58:228 (1984),,
JANU83101,01,1983,2.0,AAJ,"Sigayret, Henri",,,,,58:228-229 (1984),,
MAKA83101,01,1983,2.0,AAJ,"Matous, Ronald A.",,,,,58:229-230 (1984),,
MAKA83102,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:230 (1984),,
MAKA83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:230-231 (1984),,
MAKA83302,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:231 (1984),,
MAK283101,01,1983,2.0,AAJ,"Mueller, John",,,,,58:231 (1984),,
MAK283301,01,1983,2.0,AAJ,"Faure, Frederic",,,,,58:231-233 (1984),,
BARU83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:233 (1984),,
BARU83302,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:233 (1984),,
AMAD83102,01,1983,2.0,AAJ,"Nyka, Jozef",,,,,58:235 (1984),,
AMAD83101,01,1983,2.0,AAJ,"Haid, Arthur",,,,,58:235 (1984),,
AMAD83301,01,1983,2.0,AAJ,"Berger, Hans",,,,,58:235-237 (1984),,
AMAD83302,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:237 (1984),,
AMAD83401,01,1983,2.0,AAJ,,,,,,58:237 (1984),,
KTEG83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:237 (1984),,
LSHR83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:238 (1984),,
LSHR83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:238 (1984),,
LHOT83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:238 (1984),,
EVER83102,01,1983,2.0,AAJ,"Roach, Gerald A.",,,,,58:238-239 (1984),,
EVER83303,01,1983,2.0,AAJ,"Macquarie, Anne",,,,,58:239-240 (1984),,
EVER83305,01,1983,2.0,AAJ,,,,,,58:240-241 (1984),,
EVER83401,01,1983,2.0,AAJ,,,,,,58:241 (1984),,
PUMO83101,01,1983,2.0,AAJ,"McIntyre, Donald D.",,,,,58:241 (1984),,
PUMO83401,01,1983,2.0,AAJ,"Lowe, Jeff",,,,,58:242 (1984),,
KWAN82402,01,1982,2.0,AAJ,,,,,,58:242 (1984),,
KUSU83301,01,1983,2.0,AAJ,"Hopkins, David",,,,,58:242-243 (1984),,
CHOY83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:243 (1984),,
NGOJ83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:243 (1984),,
